Tuula;32275
Ritva;31468
Anna;31019
Anne;30838
Päivi;30521
Leena;30026
Pirjo;29270
Marja;28030
Sari;28006
Minna;27914
Riitta;26499
Tiina;26118
Pirkko;25676
Tarja;25340
Eeva;23979
Laura;23670
Anja;23665
Liisa;23504
Seija;23342
Aino;23335
Eila;23012
Raija;22880
Sirpa;22111
Jaana;21696
Satu;21677
Hanna;21488
Heidi;21459
Sanna;21195
Eija;20811
Maria;20265
Merja;20099
Kirsi;19596
Johanna;19537
Arja;19510
Maija;19448
Sirkka;19042
Paula;18502
Ulla;18489
Jenni;16863
Elina;16165
Raili;16009
Terttu;15989
Katja;15855
Hilkka;15790
Heli;15227
Mari;15179
Kirsti;14996
Nina;14882
Anni;14878
Mirja;14529
Kaija;13244
Helena;13224
Emma;12993
Anu;12698
Tuija;12584
Irma;11851
Niina;11763
Kaisa;11607
Aila;11458
Saara;11328
Sara;11229
Suvi;11210
Pia;11154
Leila;11146
Irja;11103
Tanja;11004
Katri;10927
Lea;10812
Jenna;10679
Emilia;10657
Maarit;10537
Kati;10449
Marjo;10434
Henna;10392
Ella;10158
Kerttu;10123
Noora;9963
Veera;9787
Marja-Leena;9755
Susanna;9745
Riikka;9698
Sinikka;9667
Outi;9381
Taina;9366
Sofia;9350
Mervi;9303
Julia;9182
Iida;9150
Virpi;8906
Helmi;8886
Jonna;8831
Milla;8609
Marja-Liisa;8597
Aune;8463
Miia;8368
Emmi;8358
Sonja;8149
Tiia;8068
Marika;7754
Sisko;7727
Terhi;7521
Maire;7489
Venla;7480
Elsa;7438
Elli;7398
Siiri;7362
Lotta;7240
Sini;7237
Sanni;7155
Annika;7127
Teija;7094
Mira;6991
Anita;6848
Ida;6818
Airi;6761
Mia;6666
Vilma;6633
Essi;6367
Oona;6298
Piia;6254
Anna-Liisa;6238
Anneli;6236
Taru;6174
Linda;6169
Nea;6151
Helvi;6024
Marita;5933
Aili;5776
Petra;5693
Viivi;5667
Vuokko;5527
Erja;5515
Elisa;5439
Toini;5372
Aada;5362
Salla;5342
Roosa;5307
Silja;5218
Marjatta;5212
Pinja;5061
Martta;5015
Salme;4909
Krista;4862
Iina;4860
Jenny;4706
Elvi;4684
Riina;4648
Marjut;4637
Marianne;4635
Inka;4547
Ronja;4545
Soile;4432
Milja;4423
Eva;4359
Aira;4296
Maija-Liisa;4269
Amanda;4266
Jasmin;4160
Eveliina;4102
Asta;4078
Laila;4060
Lilja;4045
Enni;4040
Meeri;4028
Kristiina;3998
Anniina;3976
Sirkka-Liisa;3972
Rauni;3953
Hannele;3945
Iiris;3943
Taimi;3935
Reetta;3911
Auli;3909
Katariina;3893
Saana;3824
Ilona;3763
Saija;3755
Eira;3656
Maiju;3651
Olivia;3615
Kaisu;3558
Rauha;3556
Nelli;3452
Heini;3439
Armi;3430
Ellen;3404
Jessica;3336
Meri;3324
Sylvi;3310
Tuuli;3239
Kaarina;3196
Linnea;3191
Minttu;3148
Pauliina;3113
Alisa;3093
Camilla;3084
Eevi;3072
Erika;3062
Sirkku;3022
Maila;2977
Mirva;2946
Oili;2924
Lahja;2904
Alli;2904
Carita;2900
Eeva-Liisa;2879
Janina;2866
Pihla;2851
Hilja;2845
Nella;2824
Karoliina;2798
Matilda;2772
Vieno;2764
Soili;2763
Anna-Maija;2742
Margit;2742
Neea;2714
Senja;2689
Jutta;2640
Irene;2591
Alina;2590
Tyyne;2586
Birgitta;2531
Olga;2398
Tytti;2353
Annikki;2342
Tea;2336
Saimi;2272
Maritta;2267
Mirka;2250
Ada;2230
Helka;2224
Netta;2220
Anne-Mari;2219
Irina;2206
Ulla-Maija;2206
Elena;2204
Aini;2204
Eine;2167
Peppi;2155
Mona;2095
Hilla;2091
Kiia;2091
Vappu;2086
Elma;2086
Virve;2074
Saila;2067
Karin;2059
Marina;2024
Iris;2012
Alma;2007
Aija;1992
Hilma;1978
Janika;1969
Minea;1968
Nora;1966
Kristina;1965
Sandra;1955
Saga;1940
Susanne;1917
Tuire;1899
Fanny;1878
Mirjam;1875
Jemina;1867
Senni;1866
Taija;1858
Janette;1831
Katriina;1818
Inga;1812
Rosa;1807
Mila;1797
Rita;1791
Helli;1790
Helga;1777
Juulia;1773
Birgit;1772
Hanne;1770
Salli;1770
Hilda;1760
Fanni;1736
Janita;1735
Heta;1735
Inkeri;1729
Viola;1721
Wilma;1717
Reija;1716
Riitta-Liisa;1713
Monica;1682
Stella;1641
Alexandra;1637
Anette;1635
Eini;1631
Marketta;1619
Heljä;1593
Laina;1589
Vera;1580
Vilja;1573
Lilli;1570
Irmeli;1570
Lumi;1560
Anna-Kaisa;1558
Varpu;1556
Lempi;1515
Minja;1503
Joanna;1502
Eerika;1500
Jade;1492
Moona;1489
Tuulikki;1472
Natalia;1471
Brita;1469
Selma;1464
Kerstin;1449
Titta;1441
Kia;1427
Anna-Maria;1426
Janna;1417
Maisa;1412
Hertta;1410
Kyllikki;1402
Tuovi;1390
Raisa;1382
Christina;1377
Marja-Terttu;1372
Elsi;1371
Marjaana;1368
Lena;1365
Anitta;1342
Kirsi-Marja;1334
Isabella;1319
Aava;1287
Frida;1279
Inger;1258
Berit;1249
Isla;1247
Annukka;1247
Tia;1245
Miisa;1233
Mikaela;1231
Hanna-Mari;1207
Hanna-Leena;1197
Mette;1196
Cecilia;1190
Ninni;1187
Helinä;1177
Else;1172
Elin;1171
Ira;1170
Reeta;1167
Vanessa;1165
Siv;1153
Marja-Riitta;1149
Barbro;1147
Anna-Mari;1146
Raila;1144
Miina;1137
Aliisa;1133
Kiira;1115
Sointu;1108
Tilda;1106
Hely;1103
Solveig;1102
Aura;1098
Henni;1097
Carola;1094
Tina;1094
Saima;1089
Marianna;1081
Valma;1074
Lyyli;1073
Aurora;1070
Tuulia;1063
